Text,Id,Lenght,Created_at,Source,Favorite_count,Retweet_count,Lang
" @ggbrokensilence: @RachelintheOC I'm not surprised either. Every so often one of these threads pops up like a mini-metoo moment, and gen2\x806""",1.1846E+18,140,10/16/2019 22:31,Twitter Web App,0,1,en
 @tba2012: Left wing success is a shit hole to the rest of us #MeToo #MeTooMovement #samich #MAGA #Blexit #WalkAway #WeBuildTheWall #KAG2\x806',1.1846E+18,139,10/16/2019 22:31,Twitter Web App,0,2,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:31,Twitter Web Client,0,100,en
 @heyyguido: Can we PLEASE move away from focusing so much on health care in the next debate. We all know where they stand by now.\nWe wan2\x806',1.1846E+18,140,10/16/2019 22:31,Twitter for Android,0,50,en
" @IreneWoodbury: Jen &amp; Colton + Brandi &amp; Matt + Zane = Non-Stop Drama ! Pop-Out Girl.  At #TatteredCover Book Stores, Denver.\n#GreatReads2\x806'",1.1846E+18,148,10/16/2019 22:31,Twitter Web App,0,3,en
" @davidgsmithphd: Men's current #MeToo hysteria has men living in fear at work. Curing men's Gynophobia--abnormal fear of women--requires2\x806""",1.1846E+18,140,10/16/2019 22:31,Twitter for iPhone,0,6,en
 @RealCandaceO: I think Matt Lauer is a scumbag2\x80\x94 as a father and husband. But I also think his accuser2\x80\x94a 30 yr old woman who clearly exch2\x806',1.1846E+18,140,10/16/2019 22:31,Twitter Web App,0,4567,en
"dme1ster @kaceytron @ladygaga @Ninja Then cancel culture and metoo, he played this right. Ahead of the curve.'",1.1846E+18,110,10/16/2019 22:31,Twitter Web App,0,0,en
ReillyRick In 1981??? Really??? So because of something he said 40 years ago you2\x80\x99re going to chastise him? You2\x80\x99re2\x806 https://t.co/khotLe8vYU',1.1846E+18,139,10/16/2019 22:30,Twitter for iPhone,0,0,en
" @LisaBritton: During this time of MeToo, it is also very very very very very very very very very important to teach young girls that mak2\x806'",1.1846E+18,140,10/16/2019 22:30,Twitter for Android,0,315,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:30,Twitter Web App,0,100,en
".@McDonalds, it is your responsibility to take real steps to ensure safe workplaces. You2\x80\x99re making our need for uni2\x806 https://t.co/k2GhPvcgdz'",1.1846E+18,140,10/16/2019 22:30,Hootsuite Inc.,1,0,en
 @RituG15: #TimesUp #MeTooVoter  #MenToo #Metoo #Brexit #WednesdayWisdom \nTime has come that laws should be amended so that rampant fake2\x806',1.1846E+18,139,10/16/2019 22:30,Twitter Web App,0,7,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:30,Twitter Web App,0,100,en
"b""@RachelintheOC I'm not surprised either. Every so often one of these threads pops up like a mini-metoo moment, and2\x806 https://t.co/BPhxCcjExN""",1.1846E+18,139,10/16/2019 22:29,Twitter Web App,1,1,en
" @davidgsmithphd: Men's current #MeToo hysteria has men living in fear at work. Curing men's Gynophobia--abnormal fear of women--requires2\x806""",1.1846E+18,140,10/16/2019 22:29,Twitter for iPhone,0,6,en
And what if\nafter all that\nwomen still wanted you\nto love them.\n\nCarol Diehl. \n#MeToo #CarolDiehl',1.1846E+18,97,10/16/2019 22:29,Twitter for Android,0,0,en
" @LisaBritton: During this time of MeToo, it is also very very very very very very very very very important to teach young girls that mak2\x806'",1.1846E+18,140,10/16/2019 22:29,Twitter for Android,0,315,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:29,Twitter for iPhone,0,100,en
 @azbrodsky: I mean I guess this is just all the #MeToo backlash in a nutshell \n\nUs: We think it is bad that there exist rapists and hara2\x806',1.1846E+18,140,10/16/2019 22:29,Twitter for iPhone,0,65,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:29,Twitter for Android,0,100,en
" @ArtonFurniture: #MeToo #Feminist #trudeaubrownface \nYou can't pretend to support anything if your the one doing it.\nTime to let this ma2\x806""",1.1846E+18,140,10/16/2019 22:28,Twitter Web App,0,13,en
Learn how to combat #humantrafficking as a healthcare provider. Symposium in Atlanta in conjunction with 2\x816@MSMEDU2\x8192\x806 https://t.co/Os5w9B7Gt8',1.1846E+18,139,10/16/2019 22:28,Twitter for iPhone,0,0,en
" @astroterf: Where's the #MeToo movement on that one?  Crickets.  Buncha friggin hypocrites. https://t.co/pGLSNugLyN""",1.1846E+18,118,10/16/2019 22:28,Twitter Web App,0,1,en
"Reducing access to appropriately gendered spaces to a matter of ""affirmation"" rather than safety has the same energ2\x806 https://t.co/2HScUOn6vw'",1.1846E+18,140,10/16/2019 22:28,Twitter Web Client,3,0,en
 @RealCandaceO: I think Matt Lauer is a scumbag2\x80\x94 as a father and husband. But I also think his accuser2\x80\x94a 30 yr old woman who clearly exch2\x806',1.1846E+18,140,10/16/2019 22:28,Twitter for iPhone,0,4567,en
" @ReadMoreScience: A very courageous individual has asked me to share an anonymous, open letter about sexual assault. I am humbled to use2\x806'",1.1846E+18,140,10/16/2019 22:28,Twitter for Android,0,19,en
Attorney Joyce Smithey will be speaking at a presentation focused on strategies for the early stages of representin2\x806 https://t.co/6yI3dl8hBC',1.1846E+18,140,10/16/2019 22:28,SocialPilot.co,0,0,en
 @TheView: Actress and #MeToo activist @Alyssa_Milano opens up about why she went public with her sexual assault story 25 years later: 2\x80\x9cI2\x806',1.1846E+18,140,10/16/2019 22:28,Twitter for Android,0,86,en
" @QueerMinistry: Whether queer in sexuality, gender, culture or  creed: Help Queer Ministry uplift your community in love. We believe fai2\x806'",1.1846E+18,140,10/16/2019 22:28,Twitter for Android,0,2,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:28,Twitter Web App,0,100,en
" @ReadMoreScience: A very courageous individual has asked me to share an anonymous, open letter about sexual assault. I am humbled to use2\x806'",1.1846E+18,140,10/16/2019 22:27,Twitter Web App,0,19,en
" @ArbitraryAlison: Is there a list somewhere of male celebrities that aren't scum? I feel like it would be short and growing shorter ever2\x806""",1.1846E+18,140,10/16/2019 22:27,Edinburgh Watch,0,1,en
CBSThisMorning @RonanFarrow @GayleKing A day later and I am still offended by your snarky attitude towards Pulitze2\x806 https://t.co/eU0eXSl90g',1.1846E+18,140,10/16/2019 22:27,Twitter for iPhone,0,0,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:27,Twitter for Android,0,100,en
"b""Where's the #MeToo movement on that one?  Crickets.  Buncha friggin hypocrites. https://t.co/pGLSNugLyN""",1.1846E+18,103,10/16/2019 22:27,Twitter Web App,1,1,en
" @ambertamblyn: Months before MeToo broke us wide open, a man tapped me on the shoulder at a restaurant and said he had read this op-ed I2\x806'",1.1846E+18,140,10/16/2019 22:27,Twitter for iPhone,0,161,en
"annasproul @rachsyme Thank you.  This does not read like any women I know.  I mean, the way it was written was so.2\x806 https://t.co/Ak77UOG3jo'",1.1846E+18,140,10/16/2019 22:27,Twitter for iPad,1,0,en
" @Underground_: 'George W. Bush went into another country, caused mass chaos that they2\x80\x99re still dealing with, over a million deaths...i2\x806""",1.1846E+18,140,10/16/2019 22:26,Twitter for iPhone,0,81,en
" @TransLawCenter: Trans women and femmes are among the most vulnerable to sexual violence, including from the police. #MeToo\n\nhttps://t.c2\x806'",1.1846E+18,140,10/16/2019 22:26,Twitter Web App,0,51,en
"b""Is there a list somewhere of male celebrities that aren't scum? I feel like it would be short and growing shorter e2\x806 https://t.co/2AJPmfqHoX""",1.1846E+18,140,10/16/2019 22:26,Twitter Web App,0,1,en
" @ReadMoreScience: A very courageous individual has asked me to share an anonymous, open letter about sexual assault. I am humbled to use2\x806'",1.1846E+18,140,10/16/2019 22:26,Twitter for Android,0,19,en
" @SigniaVC: Our portfolio company @HelloAlice just pioneered a new way to oust offending board Members. \n\nPresident @ElizabethGore said,2\x806'",1.1846E+18,139,10/16/2019 22:26,Twitter for iPhone,0,3,en
" @Reuters: Two years after a sexual harassment scandal roiled Hollywood, the industry is taking a new approach to on-camera sex scenes wi2\x806'",1.1846E+18,140,10/16/2019 22:26,Fenix 2,0,14,en
"""What he did was manipulative, dishonest, and coercive. Coerced sex isn2\x80\x99t consensual sex, it is sexual assault. The2\x806 https://t.co/CrjvkYlAXf'",1.1846E+18,140,10/16/2019 22:26,Twitter Web App,4,2,en
" @lisacybaniak: Shifting from a #survivor of #abuse to a #warrior BECAUSE of your abuse, IS possible. I can show you the 3 steps I used t2\x806'",1.1846E+18,140,10/16/2019 22:26,Twitter for iPhone,0,24,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:25,Twitter for iPhone,0,100,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:25,Twitter for iPhone,0,100,en
"b""I've done scholarly stuff as well! Here's my most recent forthcoming piece about #metoo and carceral politics:\n\nhttps://t.co/ti1kqjoUkc""",1.1846E+18,135,10/16/2019 22:25,Twitter Web App,0,0,en
" @LisaBritton: During this time of MeToo, it is also very very very very very very very very very important to teach young girls that mak2\x806'",1.1846E+18,140,10/16/2019 22:25,Twitter for iPhone,0,315,en
RebeccaOldroyd2 We have to keep pressing!!  We can prosecute these LIARS &amp; DESTROYERS (until statue of limitations2\x806 https://t.co/VyCAxTxJQV',1.1846E+18,144,10/16/2019 22:25,Twitter Web App,0,0,en
"Molly Ivins: ""Holding people to contempt and ridicule is what I do."" #MeToo'",1.1846E+18,75,10/16/2019 22:25,Twitter Web App,2,0,en
 @jodikantor: This story by @lisaxmiller goes in my personal canon of the very best #metoo writing. Stay until the end. https://t.co/Fod92\x806',1.1846E+18,140,10/16/2019 22:25,Twitter for iPhone,0,20,en
thestyleprince Yeah #metoo',1.1846E+18,27,10/16/2019 22:25,Twitter for iPhone,0,0,en
"Whether queer in sexuality, gender, culture or  creed: Help Queer Ministry uplift your community in love. We believ2\x806 https://t.co/yyqQdIzcWW'",1.1846E+18,140,10/16/2019 22:25,Twitter for Android,1,2,en
 @kelsey_caine: .@TIME magazine interviewed me about confronting my attacker &amp; convincing him to advocate for sexual assault education wi2\x806',1.1846E+18,144,10/16/2019 22:25,Twitter for Android,0,20,en
 @tba2012: Left wing success is a shit hole to the rest of us #MeToo #MeTooMovement #samich #MAGA #Blexit #WalkAway #WeBuildTheWall #KAG2\x806',1.1846E+18,139,10/16/2019 22:25,Twitter Web App,0,2,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:24,Twitter for iPhone,0,100,en
" @Underground_: 'George W. Bush went into another country, caused mass chaos that they2\x80\x99re still dealing with, over a million deaths...i2\x806""",1.1846E+18,140,10/16/2019 22:24,Twitter for iPad,0,81,en
"Episode 80 - Best Practices for Investigation of Allegations of Sexual Misconduct in the #MeToo Era - Corruption,2\x8062\x806 https://t.co/vFsPS3E2NV'",1.1846E+18,139,10/16/2019 22:24,Oktopost,0,0,en
" @hrw: 2\x80\x9cIt2\x80\x99s been a long time coming, but a change is going to come2\x80\x9d\n \nMarking 2 years of the #MeToo movement going viral, \n@hrw speaks w2\x806'",1.1846E+18,140,10/16/2019 22:23,Twitter for iPhone,0,41,en
"b""turns out doing this is potentially  sexually stimulating\n\nam i about to get #metoo'd  by the bird community or what""",1.1846E+18,116,10/16/2019 22:23,Twitter for Android,1,0,en
MSU pilots new sexual assault prevention training for local bars - MSUToday https://t.co/rB9AXRmBNG #metoo https://t.co/YagkADgEvi',1.1846E+18,130,10/16/2019 22:23,Twibble.io,0,0,en
Alyssa Milano on why she chose to share her #MeToo story 25 years later - ABC News https://t.co/dYOJLCnNfr #metoo https://t.co/YFyvV59poz',1.1846E+18,137,10/16/2019 22:23,Twibble.io,0,0,en
"b""Wanted: Intimacy coordinators. Hollywood's fastest growing job https://t.co/W1GjVehti3""",1.1846E+18,86,10/16/2019 22:23,Facebook,0,0,en
" @TheHazelHayes: Two older women at the table next to me complaining about the #MeToo movement. Apparently, 2\x80\x9cthose girls got something in2\x806'",1.1846E+18,140,10/16/2019 22:23,Twitter for Android,0,41,en
ChrisMoore1204 Exactly. #MeToo movement got all these lying ass sluts trying to cash in on one night stands that t2\x806 https://t.co/AmAeWC5DFK',1.1846E+18,140,10/16/2019 22:23,Twitter for iPhone,0,0,en
 @4AmericanKat: What it2\x80\x99s become is an evil tool of the left to take out political opponents or anyone who challenges their power &amp; autho2\x806',1.1846E+18,144,10/16/2019 22:22,Twitter for Android,0,71,en
File a sexual harassment suit on Jeff Zucker and #CorruptCNN The guy2\x80\x99s a real bastard. He2\x80\x99s no better than Weinstei2\x806 https://t.co/x6ufuNbdPK',1.1846E+18,140,10/16/2019 22:22,Twitter for iPhone,0,0,en
 @RealCandaceO: Reading Matt Lauer2\x80\x99s accuser2\x80\x99s story &amp; it2\x80\x99s EVERYTHING I hate about the #metoo movement. She admits she consensually went2\x806',1.1846E+18,144,10/16/2019 22:22,Twitter for iPhone,0,6857,en
" @RealCandaceO: #metoo, @HillaryClinton and the era of blameless women. https://t.co/DL8MIFloN8'",1.1846E+18,97,10/16/2019 22:22,Twitter for iPhone,0,3291,en
 @RealCandaceO: I think Matt Lauer is a scumbag2\x80\x94 as a father and husband. But I also think his accuser2\x80\x94a 30 yr old woman who clearly exch2\x806',1.1846E+18,140,10/16/2019 22:22,Twitter for iPhone,0,4567,en
 @majesticmayaaa: Dear @TaranaBurke this 42 year old yt guy has raped and has sexual contact with over 600 black women while being H.I.V2\x806',1.1846E+18,139,10/16/2019 22:22,Twitter for iPhone,0,324,en
"b""Harvey Weinstein had 'unhealthy obsession' with final film The Current War, claims director https://t.co/o1U6mceH8t""",1.1846E+18,115,10/16/2019 22:22,SocialOomph,1,0,en
Treated Like Meat: Women in Meatpacking Say #MeToo https://t.co/W7s0Ly7qNi',1.1846E+18,74,10/16/2019 22:22,Twitter Web Client,0,0,en
" @tba2012: President Trump, once again, emerges as Victor in 3rd Dem debate #MeToo #MeTooMovement #samich #MAGA #Blexit #WalkAway #WeBuil2\x806'",1.1846E+18,140,10/16/2019 22:21,Twitter for iPhone,0,5,en
Delighted to be here to hear Jodi Kantor and Megan Twohey whose reporting started the #Metoo movement. TY! #vted https://t.co/pl6dZryMRZ',1.1846E+18,136,10/16/2019 22:21,Twitter for iPhone,1,0,en
 @RituG15: #TimesUp #MeTooVoter  #MenToo #Metoo #Brexit #WednesdayWisdom \nTime has come that laws should be amended so that rampant fake2\x806',1.1846E+18,139,10/16/2019 22:21,Twitter for Android,0,7,en
" @ambertamblyn: Months before MeToo broke us wide open, a man tapped me on the shoulder at a restaurant and said he had read this op-ed I2\x806'",1.1846E+18,140,10/16/2019 22:21,Twitter for iPad,0,161,en
" @GottmanInst: 2\x80\x9cAs a psychotherapist supporting clients with abuse histories for 15 years, I've learned that the erasure of trust in othe2\x806""",1.1846E+18,140,10/16/2019 22:21,Twitter for Android,0,8,en
" @KenSPope: ""It2\x80\x99s helpful to begin with an academic term originated at the University of Oregon by Prof. Jennifer Freyd &amp; colleagues, cal2\x806'",1.1846E+18,144,10/16/2019 22:20,Twitter for iPhone,0,10,en
kjnz0 @AJemaineClement @Coltheman1 Metoo - both very talented individuals.',1.1846E+18,75,10/16/2019 22:20,Twitter Web App,1,0,en
KamalaHarris @PPFA Human right. If a fella were to bear a child? \n\n#MeToo \n#TheResistance \n#EnoughIsEnough \n#MoscowMitch',1.1846E+18,121,10/16/2019 22:20,Twitter for Android,0,0,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:20,Twitter for Android,0,100,en
".@TaranaBurke is coming to Loyola! On November 6th, at 7:30pm, Tarana will share her wisdom &amp; insight regarding the2\x806 https://t.co/tr8eQDzPKL'",1.1846E+18,144,10/16/2019 22:20,Twitter for iPhone,1,0,en
" @LBBOnline: #timeTo reveals progress on sexual harassment in the UK industry and reveals new plans, tools and training for next year. @a2\x806'",1.1846E+18,140,10/16/2019 22:20,Twitter for iPhone,0,5,en
"b""@MerielMyers #metoo oops ah mean  ' me too '""",1.18459E+18,44,10/16/2019 22:20,Twitter Web App,0,0,en
" @ActivateActivsm: Feds take down the world's 'largest dark web child porn marketplace' #SmartNews #MeToo #SaveOurChildren  https://t.co/2\x806""",1.18459E+18,140,10/16/2019 22:20,Twitter Web App,0,2,en
" @girlygirlsguide: @DebraLindh I've been busy writing my memoir about my #CPTSD &amp; trauma story. The good news is that I only have one mor2\x806""",1.18459E+18,144,10/16/2019 22:20,Twitter for iPhone,0,1,en
WOOF  https://t.co/E7m4n4esLJ',1.18459E+18,29,10/16/2019 22:20,Twitter for iPhone,0,0,en
" @brianglicklich: @lamommusic @Argyle232 @ScottBaio @MrsScottBaio I'm sorry, Stephanie.... actually, @NicoleEggert's lawyer Lisa Bloom to2\x806""",1.18459E+18,140,10/16/2019 22:20,Twitter for Android,0,5,en
" @ReadMoreScience: A very courageous individual has asked me to share an anonymous, open letter about sexual assault. I am humbled to use2\x806'",1.18459E+18,140,10/16/2019 22:20,Twitter for iPhone,0,19,en
 @IreneWoodbury: At the end of the day it2\x80\x99s a love story.\n#GreatReads #ChickLit #MeToo\nhttps://t.co/fwbJoTNbEe',1.18459E+18,112,10/16/2019 22:20,Twitter Web App,0,4,en
" @ambertamblyn: Months before MeToo broke us wide open, a man tapped me on the shoulder at a restaurant and said he had read this op-ed I2\x806'",1.18459E+18,140,10/16/2019 22:19,Twitter for iPhone,0,161,en
 @vennicebitch: bombshell looks so good until you realize it2\x80\x99s entirely directed and written by men and it only exists because studios ar2\x806',1.18459E+18,140,10/16/2019 22:19,Twitter for iPhone,0,283,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.18459E+18,140,10/16/2019 22:19,Twitter for Android,0,100,en
 @StillupUnderwea: Medical Device in Europe. Made in Italy.\nAvailable without prescription.\n#miamistyle #Miami #Taxistas #TampaBay #tampa2\x806',1.18459E+18,140,10/16/2019 22:19,Twitter Web App,0,2,en
" @NewsHour: The founder of #MeToo is using the second anniversary of the movement to launch #MeTooVoter, a new effort intended to mobiliz2\x806'",1.18459E+18,140,10/16/2019 22:19,Twitter Web App,0,47,en
 @d2davison: GamerGate set the gold standard for MeToo accusations https://t.co/n2Vk6fNgUR via @YouTube',1.18459E+18,105,10/16/2019 22:19,Twitter Web App,0,21,en
"b""That feeling when you are too exhausted from teaching about abuse, assault, and bullying that you don't have the en2\x806 https://t.co/qho4ZrO7Rz""",1.18459E+18,140,10/16/2019 22:19,Twitter Web App,1,0,en
I just signed this petition on OrganizeFor with @ColorOfChange. Will you join me? #O4 https://t.co/8GmTkXxZ4M via @ColorOfChange',1.18459E+18,128,10/16/2019 22:19,Twitter Web App,0,0,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.18459E+18,140,10/16/2019 22:18,Twitter for Android,0,100,en
 @StillupUnderwea: Medical Device in Europe. Made in Italy.\nAvailable without prescription.\n#miamistyle #Miami #Taxistas #TampaBay #tampa2\x806',1.18459E+18,140,10/16/2019 22:18,Twitter Web App,0,2,en
"b""When voice is finally given to the voiceless, it also gives new meaning to Hear! Hear! There's still a very long wa2\x806 https://t.co/0fmlWJAZeH""",1.18459E+18,140,10/16/2019 22:18,Twitter Web App,0,0,en
nprpolitics @MysterySolvent Uh-huh. This is your answer for millions screaming #DoSomething?  OMG*d really? \n\nIf I2\x806 https://t.co/mONErr6bRr',1.18459E+18,140,10/16/2019 22:18,Twitter for Android,0,0,en
 @4AmericanKat: What it2\x80\x99s become is an evil tool of the left to take out political opponents or anyone who challenges their power &amp; autho2\x806',1.18459E+18,144,10/16/2019 22:18,Twitter for iPad,0,71,en
Medical Device in Europe. Made in Italy.\nAvailable without prescription.\n#miamistyle #Miami #Taxistas #TampaBay2\x806 https://t.co/ZfMRxlx3KX',1.18459E+18,136,10/16/2019 22:17,Twitter Web App,3,2,en
BetoORourke @billoreilly was just projecting as he made a career of making up stuff at #foxnews. in his between2\x806 https://t.co/wtCBwDF1fu',1.18459E+18,137,10/16/2019 22:17,Twitter Web App,0,0,en
Public School teacher charged with sexual battery ... https://t.co/j1x9cjCClZ #walkaway #metoo #Tennessee',1.18459E+18,105,10/16/2019 22:17,Twitter Web App,1,0,en
" @karen__cardwell: I was raised to believe the secular world was out to get you and drag you to hell. Turns out, the secular world was a2\x806'",1.18459E+18,139,10/16/2019 22:17,Twitter for Android,0,59,en
" @IreneWoodbury: Jen &amp; Colton + Brandi &amp; Matt + Zane = Non-Stop Drama ! Pop-Out Girl.  At #TatteredCover Book Stores, Denver.\n#GreatReads2\x806'",1.18459E+18,148,10/16/2019 22:17,Twitter Web App,0,1704,en
 @tba2012: Trump was pulling punches and being kind #MeToo #MeTooMovement #samich #MAGA #Blexit #WalkAway #WeBuildTheWall #KAG #KAG2020 #2\x806',1.18459E+18,140,10/16/2019 22:17,Twitter for iPhone,0,1,en
 @sreidocregister: UPDATE: @AnaheimUHSD to pay Kennedy sex abuse victims $7.9 million in case that alleged KHS employees covered up abuse2\x806',1.18459E+18,140,10/16/2019 22:17,Twitter for iPhone,0,21,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.18459E+18,140,10/16/2019 22:17,Twitter for Android,0,100,en
notagaindrryn He even added the #metoo bullshit \0\x9f43\0\x9f43\0\x9f43',1.18459E+18,52,10/16/2019 22:16,Twitter for iPhone,1,0,en
" @francesweetman: General guidance to men talking about #MeToo - don't share women's stories of assault unless you are absolutely sure th2\x806""",1.18459E+18,140,10/16/2019 22:16,Twitter for iPhone,0,6,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.18459E+18,140,10/16/2019 22:16,Twitter for Android,0,100,en
A year ago today I wrote one of the most nerve wrecking yet freeing status2\x80\x99 ever and got the nicest message from my2\x806 https://t.co/k1OhNOr7ZI',1.18459E+18,140,10/16/2019 22:16,Twitter for iPhone,4,0,en
Left wing success is a shit hole to the rest of us #MeToo #MeTooMovement #samich #MAGA #Blexit #WalkAway2\x806 https://t.co/te4nN3d95U',1.18459E+18,129,10/16/2019 22:16,Twitter for Android,2,2,en
" @LisaBritton: During this time of MeToo, it is also very very very very very very very very very important to teach young girls that mak2\x806'",1.18459E+18,140,10/16/2019 22:16,Twitter for Android,0,315,en
" @LisaBritton: During this time of MeToo, it is also very very very very very very very very very important to teach young girls that mak2\x806'",1.18459E+18,140,10/16/2019 22:16,Twitter for iPhone,0,315,en
helensmomma @KidsLivesToo @protectnykids @GAGreenberg @purplesgem @BearmanShannon @ZoieFanAnna2 @AbuseStoppers2\x806 https://t.co/8ErfJ73Jai',1.18459E+18,136,10/16/2019 22:16,Twitter Web App,3,0,en
"b""Let's talk about #mansplaining She Speak: The Undermining Conversational Experience of HIMterruption #feminism2\x806 https://t.co/2ZqTm3Y5xD""",1.18459E+18,135,10/16/2019 22:15,IFTTT,0,0,en
 @tba2012: Eric Cartman is awesome. Change my mind #MeToo #MeTooMovement #samich #MAGA #Blexit #WalkAway #WeBuildTheWall #KAG #KAG2020 #Q2\x806',1.18459E+18,140,10/16/2019 22:15,mediairani,0,2,en
" @ewarren: Two years ago, #MeToo started a movement2\x80\x94millions spoke out and shared their stories. I'm fighting for an America where surviv2\x806""",1.18459E+18,140,10/16/2019 22:15,Twitter Web Client,0,333,en
 @tba2012: Eric Cartman is awesome. Change my mind #MeToo #MeTooMovement #samich #MAGA #Blexit #WalkAway #WeBuildTheWall #KAG #KAG2020 #Q2\x806',1.18459E+18,140,10/16/2019 22:15,StopMadness2,0,2,en
 @jodikantor: This story by @lisaxmiller goes in my personal canon of the very best #metoo writing. Stay until the end. https://t.co/Fod92\x806',1.18459E+18,140,10/16/2019 22:14,Twitter Web App,0,20,en
